FIPS,qtr,Property,Violence,Drug,Prostitution,pop,med_inc,pct_color,pop_density,Property.k,Violence.k,Drug.k,Prostitution.k,Allcrime,Allcrime.k,group
8031002901,2018,31,2,2,0,3246,74792,0.15526802218114602,8489.813069380285,9.550215650030808,0.6161429451632778,0.6161429451632778,0,35,10.782501540357362,3
8031002901,2018.25,42,6,4,0,3246,74792,0.15526802218114602,8489.813069380285,12.939001848428836,1.8484288354898337,1.2322858903265557,0,52,16.019716574245226,3
8031002901,2018.5,30,1,4,0,3246,74792,0.15526802218114602,8489.813069380285,9.242144177449168,0.3080714725816389,1.2322858903265557,0,35,10.782501540357362,3
8031002901,2018.75,21,6,2,0,3246,74792,0.15526802218114602,8489.813069380285,6.469500924214418,1.8484288354898337,0.6161429451632778,0,29,8.93407270486753,3
8031002901,2019,29,1,3,0,3246,74792,0.15526802218114602,8489.813069380285,8.93407270486753,0.3080714725816389,0.9242144177449169,0,33,10.166358595194085,3
8031002901,2019.25,36,4,3,0,3246,74792,0.15526802218114602,8489.813069380285,11.090573012939002,1.2322858903265557,0.9242144177449169,0,43,13.247073321010474,3
8031002901,2019.5,30,6,2,0,3246,74792,0.15526802218114602,8489.813069380285,9.242144177449168,1.8484288354898337,0.6161429451632778,0,38,11.70671595810228,3
8031002901,2019.75,36,2,4,0,3246,74792,0.15526802218114602,8489.813069380285,11.090573012939002,0.6161429451632778,1.2322858903265557,0,42,12.939001848428836,3
8031002901,2020,50,5,3,0,3246,74792,0.15526802218114602,8489.813069380285,15.403573629081947,1.5403573629081948,0.9242144177449169,0,58,17.86814540973506,3
8031002901,2020.25,56,3,1,0,3246,74792,0.15526802218114602,8489.813069380285,17.25200246457178,0.9242144177449169,0.3080714725816389,0,60,18.484288354898336,3
8031002901,2020.5,65,5,2,0,3246,74792,0.15526802218114602,8489.813069380285,20.024645717806532,1.5403573629081948,0.6161429451632778,0,72,22.181146025878004,3
8031002901,2020.75,75,3,0,0,3246,74792,0.15526802218114602,8489.813069380285,23.10536044362292,0.9242144177449169,0,0,78,24.029574861367838,3
8031002901,2021,48,1,2,0,3246,74792,0.15526802218114602,8489.813069380285,14.78743068391867,0.3080714725816389,0.6161429451632778,0,51,15.711645101663587,3
8031002901,2021.25,42,3,2,0,3246,74792,0.15526802218114602,8489.813069380285,12.939001848428836,0.9242144177449169,0.6161429451632778,0,47,14.47935921133703,3
8031002901,2021.5,74,5,3,0,3246,74792,0.15526802218114602,8489.813069380285,22.797288971041283,1.5403573629081948,0.9242144177449169,0,82,25.261860751694392,3
8031002901,2021.75,80,4,2,0,3246,74792,0.15526802218114602,8489.813069380285,24.645717806531117,1.2322858903265557,0.6161429451632778,0,86,26.494146642020947,3
8031002902,2011,42,3,0,0,4330,110720,0.12193995381062356,8885.66492767594,9.699769053117782,0.6928406466512702,0,0,45,10.392609699769054,3
8031002902,2011.25,42,2,1,0,4330,110720,0.12193995381062356,8885.66492767594,9.699769053117782,0.4618937644341801,0.23094688221709006,0,45,10.392609699769054,3
8031002902,2011.5,38,2,0,0,4330,110720,0.12193995381062356,8885.66492767594,8.775981524249422,0.4618937644341801,0,0,40,9.237875288683602,3
8031002902,2011.75,45,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,10.392609699769054,0,0,0,45,10.392609699769054,3
8031002902,2012,30,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,6.928406466512702,0,0,0,30,6.928406466512702,3
8031002902,2012.25,44,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,10.161662817551964,0,0,0,44,10.161662817551964,3
8031002902,2012.5,48,1,1,0,4330,110720,0.12193995381062356,8885.66492767594,11.085450346420323,0.23094688221709006,0.23094688221709006,0,50,11.547344110854503,3
8031002902,2012.75,51,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,11.778290993071593,0,0,0,51,11.778290993071593,3
8031002902,2013,29,0,1,0,4330,110720,0.12193995381062356,8885.66492767594,6.697459584295612,0,0.23094688221709006,0,30,6.928406466512702,3
8031002902,2013.25,39,3,8,0,4330,110720,0.12193995381062356,8885.66492767594,9.006928406466512,0.6928406466512702,1.8475750577367205,0,50,11.547344110854503,3
8031002902,2013.5,45,2,2,0,4330,110720,0.12193995381062356,8885.66492767594,10.392609699769054,0.4618937644341801,0.4618937644341801,0,49,11.316397228637413,3
8031002902,2013.75,51,3,2,0,4330,110720,0.12193995381062356,8885.66492767594,11.778290993071593,0.6928406466512702,0.4618937644341801,0,56,12.933025404157044,3
