FIPS,qtr,no_action_sub,no_action_veh,citation_sub,citation_veh,arrest_sub,arrest_veh,no_action,citation,arrest,allstop,allstop_sub,allstop_veh,pop,med_inc,pct_color,pop_density,allstop.k,no_action.k,citation.k,arrest.k,group
8031004303,2018.5,3,13,1,7,1,4,16,8,5,29,5,24,4054,175313,0.07523433645781943,4231.631054253156,7.153428712382832,3.946719289590528,1.973359644795264,1.23334977799704,3
8031004303,2018.75,2,8,0,3,0,0,10,3,0,13,2,11,4054,175313,0.07523433645781943,4231.631054253156,3.206709422792304,2.46669955599408,0.740009866798224,0,3
8031004303,2019,1,11,0,2,0,1,12,2,1,15,1,14,4054,175313,0.07523433645781943,4231.631054253156,3.70004933399112,2.960039467192896,0.493339911198816,0.246669955599408,3
8031004303,2019.25,2,9,0,3,0,1,11,3,1,15,2,13,4054,175313,0.07523433645781943,4231.631054253156,3.70004933399112,2.7133695115934877,0.740009866798224,0.246669955599408,3
8031004303,2019.5,3,8,0,4,0,3,11,4,3,18,3,15,4054,175313,0.07523433645781943,4231.631054253156,4.440059200789344,2.7133695115934877,0.986679822397632,0.740009866798224,3
8031004303,2019.75,0,10,0,11,0,2,10,11,2,23,0,23,4054,175313,0.07523433645781943,4231.631054253156,5.673408978786384,2.46669955599408,2.7133695115934877,0.493339911198816,3
8031004303,2020,1,5,0,4,0,0,6,4,0,10,1,9,4054,175313,0.07523433645781943,4231.631054253156,2.46669955599408,1.480019733596448,0.986679822397632,0,3
8031004303,2020.25,2,0,0,0,0,0,2,0,0,2,2,0,4054,175313,0.07523433645781943,4231.631054253156,0.493339911198816,0.493339911198816,0,0,3
8031004303,2020.5,4,2,0,2,1,0,6,2,1,9,5,4,4054,175313,0.07523433645781943,4231.631054253156,2.220029600394672,1.480019733596448,0.493339911198816,0.246669955599408,3
8031004303,2020.75,1,1,0,1,0,0,2,1,0,3,1,2,4054,175313,0.07523433645781943,4231.631054253156,0.740009866798224,0.493339911198816,0.246669955599408,0,3
8031004303,2021,1,1,0,1,1,0,2,1,1,4,2,2,4054,175313,0.07523433645781943,4231.631054253156,0.986679822397632,0.493339911198816,0.246669955599408,0.246669955599408,3
8031004303,2021.25,1,3,0,0,0,0,4,0,0,4,1,3,4054,175313,0.07523433645781943,4231.631054253156,0.986679822397632,0.986679822397632,0,0,3
8031004303,2021.5,0,4,0,1,0,0,4,1,0,5,0,5,4054,175313,0.07523433645781943,4231.631054253156,1.23334977799704,0.986679822397632,0.246669955599408,0,3
8031004303,2021.75,0,1,0,0,0,0,1,0,0,1,0,1,4054,175313,0.07523433645781943,4231.631054253156,0.246669955599408,0.246669955599408,0,0,3
8031004304,2011,10,115,1,29,0,14,125,30,14,169,11,158,5885,84068,0.19320305862361936,5790.91624347051,28.717077315208158,21.240441801189466,5.097706032285472,2.37892948173322,3
8031004304,2011.25,11,74,1,21,2,21,85,22,23,130,14,116,5885,84068,0.19320305862361936,5790.91624347051,22.090059473237044,14.443500424808835,3.7383177570093458,3.9082412914188613,3
